n_per_class,effect_fraction,power_simulation,power_analytical,mde
50,1.0,0.5440,0.1728,0.323485
75,1.0,0.6710,0.2372,0.263213
100,1.0,0.8110,0.3008,0.227561
150,1.0,0.9450,0.4219,0.185489
200,1.0,0.9840,0.5308,0.160503
300,1.0,0.9980,0.7044,0.130941
500,1.0,1.0000,0.8972,0.101359
750,1.0,1.0000,0.9768,0.082731
1000,1.0,1.0000,0.9954,0.071636
50,0.75,0.4350,0.1180,0.323485
75,0.75,0.5720,0.1539,0.263213
100,0.75,0.7030,0.1900,0.227561
150,0.75,0.8750,0.2623,0.185489
200,0.75,0.9510,0.3331,0.160503
300,0.75,0.9930,0.4653,0.130941
500,0.75,1.0000,0.6770,0.101359
750,0.75,1.0000,0.8423,0.082731
1000,0.75,1.0000,0.9283,0.071636
50,0.5,0.3390,0.0798,0.323485
75,0.5,0.4470,0.0952,0.263213
100,0.5,0.5880,0.1109,0.227561
150,0.5,0.7520,0.1426,0.185489
200,0.5,0.8720,0.1747,0.160503
300,0.5,0.9720,0.2391,0.130941
500,0.5,0.9960,0.3644,0.101359
750,0.5,1.0000,0.5064,0.082731
1000,0.5,1.0000,0.6263,0.071636
