request_id,config_hash,invocation_count,generated_tokens_before_sample,forced_token_id,requested_forced_token_id,mask_count,masked_token_ids,entropy_before,entropy_after,entropy_target,entropy_error
gpu-forced-d2f731aa3985449dac5c5eae9cf378c9-disabled,f0646c096a94fed1d80ff716528eefb013801d3adfc90d8a28e0ad1b119c6178,1,0,,,2,"[76482, 92040]",,,,
gpu-forced-d2f731aa3985449dac5c5eae9cf378c9,5b73ea1c17a373184eb918cafff95466789a16e611d6912fd8977674413b3e0d,1,0,11064,11064,151935,"[76482, 92040]",,,,
gpu-forced-949051d932ef477189a70be8d0b7901a-disabled,f0646c096a94fed1d80ff716528eefb013801d3adfc90d8a28e0ad1b119c6178,1,0,,,2,"[76482, 92040]",,,,
gpu-forced-949051d932ef477189a70be8d0b7901a,5b73ea1c17a373184eb918cafff95466789a16e611d6912fd8977674413b3e0d,1,0,11064,11064,151935,"[76482, 92040]",,,,
entropy-3ff7387443c44338bea3fa8c3bef7c38-low,d3eb9b224698bb358334314babbdf0f44ecc6abfb8dce8bd8fbb23fdc93a2574,1,0,,,2,"[76482, 92040]",0.1632167100906372,0.24573206901550293,1.0,0.8367832899093628
entropy-3ff7387443c44338bea3fa8c3bef7c38-medium,f8b23bb84fb363688a1f9e926decb30637ca161bfcceb09e3bbbd7eb0cd989a2,1,0,,,2,"[76482, 92040]",0.16320261359214783,0.6745617389678955,4.0,3.836797386407852
entropy-3ff7387443c44338bea3fa8c3bef7c38-high,9e57268ea3ddb1ca7b69890ebda3ad803b63c8bc0365b96e470c90b3f4f811e1,1,0,,,2,"[76482, 92040]",0.16320261359214783,3.9738729000091553,8.0,7.836797386407852
entropy-3ff7387443c44338bea3fa8c3bef7c38-medium-reset,f8b23bb84fb363688a1f9e926decb30637ca161bfcceb09e3bbbd7eb0cd989a2,1,0,,,2,"[76482, 92040]",0.16320261359214783,0.6745617389678955,4.0,3.836797386407852
entropy-3ff7387443c44338bea3fa8c3bef7c38-fixed-temperature,ae96ab0418d501b88a5cf413186abd94b3115e95a57ddf816f15788afdc55d01,1,0,,,2,"[76482, 92040]",,,,
logits-afde7e1cd83c4b8db93c5a15aed24cf0,fa4320362d4c247e853227ee5d673f6def0cc61e7342dea5ae61a09307c9d3d6,1,0,,,2,"[76482, 92040]",,,,
logits-afde7e1cd83c4b8db93c5a15aed24cf0,fa4320362d4c247e853227ee5d673f6def0cc61e7342dea5ae61a09307c9d3d6,2,1,,,2,"[76482, 92040]",,,,
phrase-a12d921903824ed3a30a4b9c03c45a08-disabled,4a776341ce182eb7b4e77a4dcb4ddf57c8021c41be594d6b958c0ebee73fb7dd,1,0,36813,36813,151935,"[76482, 92040]",,,,
phrase-a12d921903824ed3a30a4b9c03c45a08-disabled,4a776341ce182eb7b4e77a4dcb4ddf57c8021c41be594d6b958c0ebee73fb7dd,2,1,34074,34074,151935,"[76482, 92040]",,,,
phrase-a12d921903824ed3a30a4b9c03c45a08-enabled,a87845745c78d16e95c9a716f7c86af7229980082fe840c5375e12169d6b3b3e,1,0,36813,36813,151935,"[76482, 92040]",,,,
phrase-a12d921903824ed3a30a4b9c03c45a08-enabled,a87845745c78d16e95c9a716f7c86af7229980082fe840c5375e12169d6b3b3e,2,1,,34074,3,"[34074, 76482, 92040]",,,,
phrase-de8b1d555e474b95bfc9559208a1c6f1-disabled,8716afcd6cf6b031e4dadfb6e38934fa5af660e519bb798d02556ec15cf4af7a,1,0,50315,50315,151935,"[76482, 92040]",,,,
phrase-de8b1d555e474b95bfc9559208a1c6f1-disabled,8716afcd6cf6b031e4dadfb6e38934fa5af660e519bb798d02556ec15cf4af7a,2,1,1953,1953,151935,"[76482, 92040]",,,,
phrase-de8b1d555e474b95bfc9559208a1c6f1-disabled,8716afcd6cf6b031e4dadfb6e38934fa5af660e519bb798d02556ec15cf4af7a,3,2,49126,49126,151935,"[76482, 92040]",,,,
phrase-de8b1d555e474b95bfc9559208a1c6f1-disabled,8716afcd6cf6b031e4dadfb6e38934fa5af660e519bb798d02556ec15cf4af7a,4,3,19622,19622,151935,"[76482, 92040]",,,,
phrase-de8b1d555e474b95bfc9559208a1c6f1-disabled,8716afcd6cf6b031e4dadfb6e38934fa5af660e519bb798d02556ec15cf4af7a,5,4,1508,1508,151935,"[76482, 92040]",,,,
phrase-de8b1d555e474b95bfc9559208a1c6f1-disabled,8716afcd6cf6b031e4dadfb6e38934fa5af660e519bb798d02556ec15cf4af7a,6,5,89,89,151935,"[76482, 92040]",,,,
phrase-de8b1d555e474b95bfc9559208a1c6f1-disabled,8716afcd6cf6b031e4dadfb6e38934fa5af660e519bb798d02556ec15cf4af7a,7,6,269,269,151935,"[76482, 92040]",,,,
